area_code,area_name,name,operator,type,turbines,capacity,address,county,lon,lat
E07000145,Great Yarmouth,South Beach Wind Turbine (Somerton),Ecotricity,Wind Onshore,1,1.47,"Somerton, Great Yarmouth, Norfolk",Norfolk,1.6544623489276367,52.709894168036115
E07000143,Breckland,Swaffham 1 - Ecotech Wind Park,LRZ Ltd (Taken over by NOVERA),Wind Onshore,1,1.47,"East of West Acre Road
Swaffham
Norfolk",Norfolk,0.6832674615827424,52.65672935025567
W06000008,Ceredigion,Mynydd Gorddu Wind Farm,Cynllun Trydan Gwynt,Wind Onshore,19,0.54,Mynydd Gorddu Elerch Tal-y-Bont Dyfed,Dyfed,-3.9710005322751893,52.46629652867619
W06000008,Ceredigion,Cefn Croes Wind Farm,"Renewable Development Company Ltd, KENTECH Ltd",Wind Onshore,39,1.50,"Canolbarth Forest,  Devils Bridge  Ceredigion",Dyfed,-3.7506911300826093,52.40502768835182
W06000023,Powys,Carno 'B' Wind Farm,RWE npower,Wind Onshore,28,0.60,"Trannon Moor, Carno, Powys",Powys,-3.608162900416203,52.54943254169109
W06000023,Powys,Carno 'A' Wind Farm,RWE npower,Wind Onshore,28,0.60,"Cwm Cledan
Carno
Powys",Powys,-3.57919109063888,52.542306426221266
W06000023,Powys,Cemmaes 'B' Wind Farm,Vestas,Wind Onshore,6,0.56,"Mynydd y Cemmaes
Cemmaes
Machynlleth
Powys",Powys,-3.6720677382634026,52.657910623058356
W06000001,Isle of Anglesey,Trysglwyn Wind Farm,RWE npower,Wind Onshore,14,0.40,"Trysglwyn Fawr
Rhosybol
Isle of Anglesey
Gwynedd",Gwynedd,-4.346466425146608,53.37475972704342
W06000003,Conwy,Hafoty Ucha '2' and '3' Wind Turbine,Private Developer,Wind Onshore,3,0.85,"3 km South of Cerrigydrudion
Llangwm",Clwyd,-3.5882564844092393,52.9962022870221
E08000014,Sefton,Royal Seaforth Dock Wind Farm,Mersey Docks and Harbour Company and Windcluster Limited,Wind Onshore,6,0.50,"Royal Seaforth Dock Port of Liverpool Bootle, Sefton Merseyside",Merseyside,-3.039310375467763,53.465214436009425
W06000023,Powys,Cemmaes 'C' Wind Farm,Vestas,Wind Onshore,18,0.85,"Cemmaes
Machynlleth
Powys",Powys,-3.674336371230873,52.639897160757066
W06000001,Isle of Anglesey,Llanbabo Wind Farm,MANWEB Generation Holdings,Wind Onshore,9,2.25,"Llanbabo Wind Farm
Land tp the north of Llyn Alaw
Isle of Anglesey
Gwynedd",Gwynedd,-4.465565943595945,53.35437569944864
E06000047,County Durham,Tow Law Wind Farm,RWE npower,Wind Onshore,3,0.90,"Tow Law, Crook, County Durham",Durham,-1.8228001195384809,54.76380396575805
